Protein_ID,Mean_Phi,Mean_Psi,Mean_Theta,Mean_Tau
Q9ZFB5,-66.02321236056338,-29.44124223633803,93.60515853239436,45.42075625915493
P21608,-65.62569655656108,-28.54602250067873,93.5845727036199,45.741483235294126
P0A5P2,-76.10957696428571,59.180794300446415,106.71926707142858,-10.195666803571433
P13692,-74.41354894186047,33.3886890498062,102.43525522093023,-12.98229143248062
P19368,-75.90153779569893,47.37245510286737,104.18687193548386,-16.57320664659498
P24943,-64.17922711163895,-24.1037521207601,94.2485986912114,41.44726098337292
Q45588,-71.69046123076924,25.29763010125,102.33883788942309,6.227657651923077
P39127,-80.52136985389612,38.20263577558441,103.36963803246752,-16.9054243237013
P0A3Q0,-71.09733511485149,25.126601218336635,101.07291846336634,13.690037214851486
Q5YLG1,-73.76346594688923,27.269767398156297,102.03476378755693,8.924806854324732
Q03091,-69.01040638408304,33.87331781681661,102.31787844636678,21.067406155709342
O52351,-67.26074115662651,-12.982266921445781,95.51064437148594,43.07976059437751
O87236,-75.11714496610169,34.46616467966101,101.8540592542373,13.787797372881355
O87237,-69.1267422,52.04811702000001,102.99614206153848,20.727811292307692
P16304,-70.4049101889401,32.615382578156684,102.70949201843318,-10.141018023041472
P28598,-70.6450798897059,19.714231251847426,101.27748786397058,1.5943446308823521
P68802,-84.06385829447852,81.57181078466257,110.61308814723928,-49.71292197546012
P21543,-73.04208125,52.76896503092809,105.9681410117057,-16.990987969147156
P0C0N4,-67.13134594329897,-24.617080139278347,93.99614360824742,50.521588649484535
P33379,-73.19003108450704,35.270364325151796,101.53335672613457,10.927773239436618
P0C1D7,-73.79439455098934,54.2474948167793,106.76996553881278,-21.61862607214612
Q44052,-74.9852022199688,60.87050992323869,106.61419341341653,-20.098122379095162
P28611,-65.18400333333332,-23.989046952888888,94.01583216296297,42.57711022074074
O34360,-70.57511694610778,22.99726581892216,101.26643558083833,7.349963634730539
P39046,-79.92268547597597,88.08718887136635,111.62162483933935,-44.571173954249254
Q53062,-71.99199140236406,20.103586938817966,101.00444551773049,11.345112397872338
Q2RKH8,-70.80192142216981,29.01979103455189,102.85534389622643,-6.426979277641509
